标题,卖点,总价,单价,户型,楼层,共有楼层数,装修,朝向,建造时间,面积,小区,区域,所属区,梯户比例,是否有电梯,详情页,
满五 户型方正 望江 望花园 对流 光大三期榕岸 少有,满五年 户型方正 望江 对流 楼龄新,1170,79280,4室2厅,高楼层,33,精装,东南 西北,2006,147.58,光大花园榕岸,工业大道北,海珠,两梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403179807.html
天马河国际公馆  格局方正   通风采光好,小区坏境优美管理严格，交通便利，停车方便购物方便,300,11620,6室2厅,低楼层,33,毛坯,南 北,2016,258.18,天马河国际公馆,旧区,花都,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403149735.html
近地铁 三房明窗 双阳台 套内实用率90%,实用高 中楼层 楼道好走 且近市二宫地铁,182,26146,3室1厅,中楼层,7,简装,东 东南 东北,0,69.61,前进路(海珠),前进路,海珠,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108402600104.html
全南向大三房  户型方正  实用  品质好,全南向大三房    实用  品质好  管理好  国企开发商 近地铁口,800,65110,3室1厅,中楼层,42,精装,南,0,122.87,珠江金茂府,广钢新城,荔湾,三梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403049981.html
宝岗大道 3室1厅 东南,链家网真房源，更多房源信息请联系经纪人,278,39641,3室1厅,高楼层,9,精装,东南,0,70.13,宝岗大道,宝岗,海珠,七梯一户,有,商品房,https://gz.lianjia.com/ershoufang/108403114745.html
楼龄新，配套成熟，交通便利，旺中带静。,楼龄新，处于江南西商圈配套成熟，交通便利，旺中带静。,660,50653,3室2厅,高楼层,30,简装,西南,2009,130.3,江南花园,宝岗,海珠,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108402965370.html
轻工学院 电梯高层三房 南向安静实用视野开阔,电梯高层 南向3房 双阳台 安静望园林 一梯两户,488,47504,3室2厅,高楼层,9,简装,东南,1994,102.73,广东轻工学院宿舍,新港西,海珠,一梯两户,有,房改房,https://gz.lianjia.com/ershoufang/108402879748.html
近执信，大四房，接近参考Jia的诚意出房,此房精装修钻石型主卧四房，保养很好。南北通透采光通风好。,675,33750,4室2厅,低楼层,9,精装,南 北,0,200,广州星河湾悦心园,星河湾,番禺,一梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108402692489.html
光大花园五期，望花园美景视野开阔，满五年,证过五年，海珠区少有的低密度高绿化小区,1480,83616,5室2厅,低楼层,32,精装,南,2010,177,光大花园中海锦榕湾,工业大道北,海珠,三梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108402418534.html
高层精装修 视野好 一线江景洋房 户型方正,格局方正，高楼层精装修 一线江景洋房 采光充足,124,8495,4室2厅,高楼层,25,精装,南,2011,145.97,颐和盛世,炭步,花都,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403070315.html
鹭江地铁150米 附大平台 实用率高 k改四房 准电梯,鹭江地铁口，东西对流大三房，户型方正，实用率高，准电梯房,355,33523,3室2厅,低楼层,8,简装,东 西,0,105.9,新滘镇政府宿舍,新港西,海珠,一梯三户,无,房改房,https://gz.lianjia.com/ershoufang/108402847359.html
珠光新城御景二期 一线江景南向4房  视野开阔,楼龄新 全新未住 一线江景南向4房  视野开阔  户型方正实用,2311,149813,4室2厅,中楼层,23,精装,南 北,2017,154.26,珠光新城御景二期,珠江新城东,天河,两梯二十六户,有,商品房,https://gz.lianjia.com/ershoufang/108403091491.html
嘉仕花园东区 三房带主套 业主诚心卖 户型实用方正,嘉仕花园东区 三房带主套 厨房客厅宽敞 户型实用方正,589,55290,3室2厅,低楼层,16,简装,西,2000,106.53,嘉仕花园东区,滨江东,海珠,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403173317.html
逸泉山庄居住环境舒适，交通出现方便，依山傍水 .,北看流溪河，格局方正，楼层好，视野开阔，采光好。,276,14735,4室2厅,低楼层,3,毛坯,南,0,187.32,逸泉山庄,赤草,从化,一梯一户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108402277931.html
东华西中层三面单边 3阳台双主套,框架结中层，3面单边，采光好，有位置加装电梯，,448,40259,4室1厅,中楼层,9,精装,东南,0,111.28,东华西路,东川路,越秀,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108402239332.html
此房南北通透向后看花园满5年精装修 全新 四房大户型,此房南北通透向后看花园满5年精装修 全新 四房大户型,333,18850,4室2厅,中楼层,10,精装,南 北,2011,176.66,新都盛世名门,白江,增城,一梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108402984790.html
珠光新城御景二期 一线江景南向4房  视野开阔,楼龄新 全新未住 一线江景南向4房  视野开阔  户型方正实用,2311,149813,4室2厅,中楼层,23,精装,南 北,2017,154.26,珠光新城御景二期,珠江新城东,天河,两梯二十六户,有,商品房,https://gz.lianjia.com/ershoufang/108403091491.html
新塘高档小区 俩梯三户，满五唯一 值得拥有,此房满五唯一，户型方正，视野开阔，楼层好，采光充足,258,20917,3室2厅,高楼层,20,毛坯,南 北,2011,123.35,豪进山湖珺璟,白江,增城,两梯三户,有,商品房,https://gz.lianjia.com/ershoufang/108403049335.html
加拿大花园的顶层少有复式4房，看房方便。,此房满五唯一，看房方便！采光充足，视野开阔，设施配套齐全..,861,35161,4室2厅,高楼层,23,简装,北 东北,1995,244.88,加拿大花园,华景新城,天河,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108401226614.html
望南湖一线湖景 中间楼层 有钥匙随时看房,中间楼层，视野开阔，正望南湖，有钥匙看房方便 业主诚意出*,935,38775,5室2厅,中楼层,17,毛坯,南 北,2007,241.14,山水庭苑,南湖,白云,两梯三户,有,商品房,https://gz.lianjia.com/ershoufang/108402428332.html
紫龙大街方正原装电梯三房，江南西地铁，东南向视野好,紫龙大街方正原装电梯三房，江南西地铁，东南向视野好,385,45671,3室1厅,中楼层,18,精装,东南 北,0,84.3,江南西路,江南西,海珠,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108402463257.html
桃园C区南北对流小三房，客厅看花园,南北对流格局，采光通风良好。楼龄新，视野较好,485,37983,3室2厅,低楼层,30,精装,南,2006,127.69,富力桃园,罗冲围,白云,三梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108402211504.html
区府板块 电梯南北向 有钥匙 拎包入住,此房屋南北透格局 装修新 视野宽阔 采光充足,245,18305,3室2厅,高楼层,7,精装,南,0,133.85,金菊花,旧区,花都,一梯两户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403280446.html
路劲二期东南向三房带主套，看花园,此房满五年，全新毛坯，自由改造，东南向三房看花园,188,16069,3室2厅,中楼层,11,毛坯,东南,0,117,路劲隽悦豪庭二期三期,花城街,花都,一梯三户,有,商品房,https://gz.lianjia.com/ershoufang/108403185297.html
东北向望江望塔 景观漂亮 户型方正,视野开阔 采光通充足 配套设施完善 交通便利 东向望广州塔,505,49149,3室2厅,高楼层,32,简装,东北,2004,102.75,海天花苑,滨江东,海珠,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108402882605.html
新 洛溪新城江边别墅区，经济划算，各付各税无按揭,性J比高，此别墅为双连体，位置安静，毛坯状态可自己设计扩充,864,34881,5室3厅,低楼层,1,毛坯,东南,1995,247.7,裕景花园西区,洛溪,番禺,一梯一户,无,商品房,https://gz.lianjia.com/ershoufang/108403036897.html
满五唯一，电梯四房，看房方便！,南北对流，采光好，楼上阁楼还有厕所。星空房，视野很好！,183,16188,4室3厅,高楼层,7,精装,南,0,113.05,新康花园,白江,增城,一梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108402465730.html
豪逸名苑 户型通透 看花园  格局方正 位置安静 采光好,看花园  位置安静  格局方正  交通便利  采光不错,178,12013,4室2厅,中楼层,18,毛坯,东北,0,148.18,豪逸名苑,旧区,花都,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108400475632.html
凤荔苑楼龄新 双阳台 南北对流 高楼层 带两车位 笋！,房源业主保养新颖，高楼层景观优美 视野开阔,218,17734,3室2厅,高楼层,29,精装,南 北,2018,122.93,碧桂园凤凰城凤荔苑,凤凰城,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403067255.html
双层叠墅靠边位，南北对流望湖景。精装好，南北对流,双层叠墅靠边位，南北对流望湖景。精装好，南北对流,270,15027,4室2厅,低楼层,3,精装,南 北,0,179.68,金地荔湖城,永和,增城,一梯两户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403115039.html
过5年不唯一，东南向电梯3房，格局方正，方便看房,过5年不唯一，东南向电梯3房，格局方正，方便看房,550,46718,3室2厅,中楼层,28,其他,南,2000,117.73,海印南苑,东晓路,海珠,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403036706.html
汇东国际花园三房毛坯笋盘，满5年可过户,有钥匙，看房方便，三房大户型，*大入户花园,219,18091,3室2厅,低楼层,28,毛坯,东南,2010,121.06,汇东国际花园,白江,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108402377909.html
：南北格局好，视野宽阔，交通便利,"：
南北格局好，视野宽阔，交通便利",255,17411,6室2厅,低楼层,3,简装,南,0,146.46,东方夏湾拿,太平镇,从化,一梯一户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403134238.html
江南大道中 新装修3房 近地铁 上车神盘,满五年唯一  配套成熟  近地铁  业主诚心出手,245,30990,3室1厅,中楼层,9,精装,西南 西,0,79.06,江南大道中,江南大道中,海珠,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108402892167.html
区府板块 电梯南北向 有钥匙 拎包入住,此房屋南北透格局 装修新 视野宽阔 采光充足,245,18305,3室2厅,高楼层,7,精装,南,0,133.85,金菊花,旧区,花都,一梯两户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403280446.html
东北向望江望塔 景观漂亮 户型方正,视野开阔 采光通充足 配套设施完善 交通便利 东向望广州塔,505,49149,3室2厅,高楼层,32,简装,东北,2004,102.75,海天花苑,滨江东,海珠,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108402882605.html
汇东国际花园三房毛坯笋盘，满5年可过户,有钥匙，看房方便，三房大户型，*大入户花园,219,18091,3室2厅,低楼层,28,毛坯,东南,2010,121.06,汇东国际花园,白江,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108402377909.html
过5年不唯一，东南向电梯3房，格局方正，方便看房,过5年不唯一，东南向电梯3房，格局方正，方便看房,550,46718,3室2厅,中楼层,28,其他,南,2000,117.73,海印南苑,东晓路,海珠,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403036706.html
新凤凰后街1-5号大院3-2-1-1,此房满二 有增值税 看好房可另行协商,268,37223,3室2厅,低楼层,9,精装,南,1992,72,新凤凰后街1-5号大院,滨江东,海珠,一梯六户,无,商品房,https://gz.lianjia.com/ershoufang/108403237944.html
天河公园 高层南向望江 交通方便 生活便利,满五 ，无抵押，高层视野好，采光通透，交通便利，近天河公园,1200,74309,5室2厅,高楼层,25,精装,南,2004,161.49,东璟花园,员村,天河,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403190186.html
瀚林水岸3房2卫加书房  产权过五  无抵押无按揭,此房满五，通透格局，视野宽阔，采光充足，装修保养好。,778,60465,3室2厅,低楼层,28,精装,西南,2006,128.67,瀚林水岸,滨江东,海珠,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108402879076.html
白云新城板块，东南向望白云山景，视野采光好充足。,白云新城板块，电梯高层，采光充足，配套齐全，交通便利,813,46995,4室2厅,高楼层,9,简装,东南,2006,173,颐和上院二期,白云大道南,白云,一梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403018140.html
南岗地铁站复式实用四房，配套齐全，静谧舒适，楼距宽,享两大商圈北向复式四房，采光通透，户型方正，静谧舒适。,400,39013,4室2厅,中楼层,37,精装,北,2019,102.53,佳兆业城市广场,沙村,黄埔,两梯七户,有,商品房,https://gz.lianjia.com/ershoufang/108403148044.html
流花君庭 南向望流花湖全景 传世之宅 采光好视野宽,一线湖景.环境优美，产权清晰，视野宽阔，满五唯一.东南单边,2480,61323,6室3厅,高楼层,26,精装,东南 南,2010,404.42,流花君庭,流花站前,荔湾,一梯一户,有,商品房,https://gz.lianjia.com/ershoufang/108401975937.html
天河公园，隽园大三房，安静望花园 业主诚* 看房方便,房子是满五唯一的，高楼层，采光视野好，通风采光好。,1175,109999,3室2厅,中楼层,32,精装,西北,2007,106.82,隽园,天河公园,天河,四梯七户,有,商品房,https://gz.lianjia.com/ershoufang/108402295035.html
云景花园 改善户型 复式4房 采光通风 视野开阔,无按揭 产权清晰 改善复式4房  带大露台 采光通风 视野开阔,946,44869,4室2厅,高楼层,10,精装,东 东北,2002,210.84,云景花园云桦苑,京溪,白云,一梯十户,有,商品房,https://gz.lianjia.com/ershoufang/108403047266.html
顺华名庭 过五年唯一   望广州塔望中山大学景观,中大地铁口，电梯房，配套设施齐全，交通便利,405,36819,3室2厅,中楼层,20,简装,北,2001,110,顺华名庭,新港西,海珠,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403112916.html
海博苑  独栋别墅 依山傍水 大夫山公园 山清水秀,证过5年不是唯一物业，依山傍水 大夫山公园,839,35907,6室2厅,低楼层,3,毛坯,南,0,233.66,海博苑,市桥,番禺,一梯一户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403151337.html
海德公馆优质四房三卫望广钢公园,1、优质楼层。 2、小区中间栋看广钢公园。 3、220米楼间,1150,67260,4室2厅,低楼层,26,精装,南,0,170.98,保利葛洲坝海德公馆,广钢新城,荔湾,两梯三户,有,商品房,https://gz.lianjia.com/ershoufang/108403324809.html
海联路单位小区 电梯在用 高层非顶楼 南北对流,此房满五年，格局方正南北对流，有地铁，近江边，随时看房,415,45933,3室1厅,高楼层,9,简装,南,0,90.35,丽景国旅,东晓路,海珠,一梯两户,有,房改房,https://gz.lianjia.com/ershoufang/108403207300.html
富景花园 南向三房  满五唯一 厅出阳台,此房房源满五年唯一物业 ，三房南向 厅出阳台 业主诚意卖。,425,48406,3室2厅,低楼层,32,简装,南,2003,87.8,富景花园,新港西,海珠,三梯十二户,有,商品房,https://gz.lianjia.com/ershoufang/108403211004.html
精装修，轻轨口，金地自己的物业，中高层，安静。,精装修，轻轨口，金地自己的物业，中高层，安静。,54,11643,1室1厅,高楼层,33,精装,西南,0,46.38,金地荔湖城水立坊,永和,增城,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403325886.html
空气清新，安静舒适，环境优美，有车位,空气清新，安静舒适，环境优美，有车位,73,9930,2室1厅,中楼层,17,精装,北,2017,73.52,碧桂园映象,福和镇,增城,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403326374.html
邦华星际二期，高楼层，视野好，户型方正，复式两层,邦华星际二期 高楼层 户型好，交通便利 环境好 精装修 保养好,121,19376,3室2厅,高楼层,20,精装,东,0,62.45,邦华星际广场二期,龙溪,荔湾,三梯十二户,有,商品房,https://gz.lianjia.com/ershoufang/108403338542.html
南向房子  采光好  户型正   环境优美  刚需可选,南北对流户型  采光足  户型方正   适合一家人居住  环境优美,105,12146,3室1厅,低楼层,26,精装,南 北,2018,86.45,恒大山水郡,中新镇,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403338808.html
看房方便，过五年唯一，税少，毛坯，户型方正,此房满五唯一，业主诚心放卖，户型方正，采光通风好,98,12549,2室1厅,低楼层,19,毛坯,东,2008,78.1,嘉骏豪苑,新塘南,增城,三梯十一户,有,商品房,https://gz.lianjia.com/ershoufang/108403360128.html
刚需3房，采光充足，配套成熟，地铁口,刚需3房，采光充足，配套成熟. 格局好,67,8006,3室2厅,高楼层,7,简装,南,0,83.69,培英楼,旧区,花都,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403349854.html
邦华星际二期，高楼层，视野好，户型方正，复式两层,邦华星际二期 高楼层 户型好，交通便利 环境好 精装修 保养好,121,19376,3室2厅,高楼层,20,精装,东,0,62.45,邦华星际广场二期,龙溪,荔湾,三梯十二户,有,商品房,https://gz.lianjia.com/ershoufang/108403338542.html
南向房子  采光好  户型正   环境优美  刚需可选,南北对流户型  采光足  户型方正   适合一家人居住  环境优美,105,12146,3室1厅,低楼层,26,精装,南 北,2018,86.45,恒大山水郡,中新镇,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403338808.html
富基广场 难得放盘 正规大一房一厅 全明屋 采光通风好,富基广场 难得放盘 正规大一房一厅 全明屋 采光通风好,310,51113,1室1厅,高楼层,31,简装,西南,2007,60.65,富基广场,滨江中,海珠,三梯十三户,有,动迁安置房,https://gz.lianjia.com/ershoufang/108403372265.html
满五，厅出阳台南向，安静不吵，地铁口,满五，厅出阳台南向，安静不吵，地铁口,117,25435,2室1厅,低楼层,6,毛坯,南,0,46,晓港西马路,昌岗,海珠,一梯一户,无,房改房,https://gz.lianjia.com/ershoufang/108403373697.html
时代倾城(增城区) 3室2厅 南,链家网真房源，更多房源信息请联系经纪人,160,13540,3室2厅,中楼层,18,其他,南,2011,118.17,时代倾城(增城区),荔城增江,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403378391.html
市二宫地铁100米，厅出阳台东南向，带私家大花园,房改房非唯一，东南北三面单边，一梯两户。,188,42641,3室1厅,高楼层,7,精装,东南,0,44.09,前进路(海珠),前进路,海珠,一梯一户,暂无数据,房改房,https://gz.lianjia.com/ershoufang/108403378845.html
雅图居 1室1厅 东,链家网真房源，更多房源信息请联系经纪人,108,24297,1室1厅,中楼层,9,简装,东,1999,44.45,雅图居,机场路,白云,一梯五户,无,商品房,https://gz.lianjia.com/ershoufang/108403381995.html
西场地铁口 广雅 平层电梯中楼层 东南北单边户大阳台,此房一手业主产权清晰 框架结构 单边户 看房方便,222,33309,3室1厅,中楼层,9,简装,东北,1990,66.65,和平南小区,西场,荔湾,一梯两户,有,房改房,https://gz.lianjia.com/ershoufang/108403375616.html
厅出阳台，南向单边位，经典双阳台，安静望花园。,厅出阳台，南向单边位，经典双阳台，安静望花园。,508,57079,3室2厅,中楼层,11,简装,南,2000,89,保利花园(海珠),工业大道中,海珠,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403380302.html
荔尚国际 2室1厅 北,链家网真房源，更多房源信息请联系经纪人,360,48498,2室1厅,中楼层,17,简装,北,2008,74.23,荔尚国际,西关,荔湾,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403396447.html
江南花苑 2室1厅 南,链家网真房源，更多房源信息请联系经纪人,63,12702,2室1厅,中楼层,7,简装,南,1998,49.6,江南花苑,市桥,番禺,一梯三户,无,商品房,https://gz.lianjia.com/ershoufang/108403386293.html
电梯南向两房 满五 采光好 户型方正 适合刚需,电梯南向两房 满五 采光好 户型方正 适合刚需,150,31348,2室1厅,低楼层,9,精装,西南,1997,47.85,金德苑,同德围,白云,一梯十六户,有,商品房,https://gz.lianjia.com/ershoufang/108403382411.html
杨巷路 3室1厅 北,链家网真房源，更多房源信息请联系经纪人,144,27038,3室1厅,中楼层,7,其他,北,1999,53.26,杨巷路,人民路,荔湾,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108403382285.html
省东风西 香港业主套现 南向户型 框架结构,省东风西 户型方正 采光光猛 框架结构 生活便利,210,39172,2室1厅,高楼层,8,简装,南,0,53.61,盘福路,盘福,越秀,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403388478.html
大院管理，视野开阔，南北对流户型好,此房满五不唯一，大院管理，光线充足,120,21429,2室1厅,中楼层,8,简装,南 北,0,56,松柏新村,景泰,白云,一梯一户,暂无数据,房改房,https://gz.lianjia.com/ershoufang/108403384602.html
昌岗中路 低层 精装修三房  采光好,昌岗中路 低层 精装修三房  采光好 户型方正,192,37102,3室1厅,中楼层,5,精装,东,0,51.75,昌岗中路,昌岗,海珠,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403392158.html
电梯一房，户型格局方正，通风对流。,楼层好，视野开阔，采光充足，已经加装了电梯。,90,30131,1室1厅,中楼层,9,简装,南,1999,29.87,芳华苑,芳村,荔湾,一梯九户,有,商品房,https://gz.lianjia.com/ershoufang/108403390274.html
时代南湾 大面积 免交增值税 看房随时 南北对流,该物业证过五年 看房随时 南北对流 大面积 免交增值税,350,24052,3室2厅,高楼层,24,简装,南,2012,145.52,时代南湾,南沙港,南沙,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403379701.html
南向户型满五唯一 全新没入住 业主定期打理 保养很好,满五唯一 全新没入住过 业主定期有打理 保养很好,256,27474,3室2厅,中楼层,27,精装,南 西南,2016,93.18,碧桂园天玺湾,进港大道,南沙,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403388334.html
东华东路 2室1厅 南 西,链家网真房源，更多房源信息请联系经纪人,220,45615,2室1厅,中楼层,9,其他,南 西,0,48.23,东华东路,东山口,越秀,一梯九户,无,商品房,https://gz.lianjia.com/ershoufang/108403379857.html
电梯房 低楼层 采光通风好 格局方正 适合刚需,电梯房 低楼层 采光通风好 格局方正 适合刚需,120,28791,2室1厅,低楼层,9,精装,东南,2003,41.68,嘉德苑,同德围,白云,一梯七户,有,商品房,https://gz.lianjia.com/ershoufang/108403382352.html
电梯直上三楼，采光好，带12平方的平台,电梯直上三楼，采光好，带12平方的平台，户型方正，地铁500米..,208,29321,3室1厅,低楼层,9,简装,北,1998,70.94,雅怡花园,同德围,白云,一梯五户,无,商品房,https://gz.lianjia.com/ershoufang/108403390400.html
芳和花园 望花园 两房一厅 采光好 小区环境好 楼龄新,此房满5不唯一 大型小区 安静舒适 坑口品质 户型方正,243,37763,2室2厅,低楼层,32,简装,北,0,64.35,芳和花园,坑口,荔湾,三梯九户,有,商品房,https://gz.lianjia.com/ershoufang/108403378828.html
大德路 满族 低层2房 精装修,楼层低，适合大多数人群需要，预算不高适初次置业,136,40780,2室1厅,中楼层,9,其他,东北,1993,33.35,大德路,解放南,越秀,一梯七户,有,商品房,https://gz.lianjia.com/ershoufang/108403392242.html
远洋天骄 电梯高层 精装修 跃式户型 可办公和住家,远洋天骄 电梯高层 精装修 跃式户型 可办公和住家,110,19957,1室1厅,中楼层,15,精装,西,0,55.12,远洋天骄广场,天河客运站,天河,五梯二十九户,有,商品房,https://gz.lianjia.com/ershoufang/108403405606.html
雅居乐锦城花冠集 3室2厅 东南 南,链家网真房源，更多房源信息请联系经纪人,157,16607,3室2厅,高楼层,32,精装,东南 南,2008,94.54,雅居乐锦城花冠集,秀全街,花都,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403381689.html
西增路 2室2厅 南 北,链家网真房源，更多房源信息请联系经纪人,199,29693,2室2厅,中楼层,9,精装,南 北,0,67.02,西增路,西村,荔湾,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403394249.html
园林小区双地铁南向环境舒适旺中带静,满五不唯一，低税好房，南北对流，三房带主套，全新精装,245,41802,3室1厅,低楼层,9,简装,南 北,1990,58.61,晓园新村晓园新,昌岗,海珠,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403394027.html
荔湾区，流花湖畔，电梯高层，视野开阔，户型实用！,此房满二年，加装电梯，户型方正实用，小三房，视野开阔，通风好,166,39468,3室1厅,高楼层,8,精装,南,0,42.06,站前路(荔湾),流花站前,荔湾,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403392194.html
这一套房满五税少.全新没入住过.业主是朋友.可看房,此房已经证过5年，税费少.ye房屋采光比较好，通透、小区环境..,230,22420,3室2厅,低楼层,27,精装,北,2016,102.59,碧桂园天玺湾,进港大道,南沙,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403390207.html
南沙湾地铁口高楼层东南向 看山景 全新未住三房两卫,南沙湾地铁口高楼层东南向 看山景 全新未住三房两卫,240,24812,3室2厅,中楼层,32,精装,南,0,96.73,碧桂园海湾1号,南沙港,南沙,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403384567.html
豪利花园 3室1厅 南,链家网真房源，更多房源信息请联系经纪人,189,19318,3室1厅,中楼层,15,简装,南,2011,97.84,豪利花园,镜湖大道,花都,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403392968.html
一楼大花园 看花好心情  格局方正实用 出入方便,南北对流  保养好 近地铁大花园 交通便利,185,30680,2室2厅,低楼层,5,简装,北,2001,60.3,祈福新村青怡居,祈福新村,番禺,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403393246.html
广奥电梯复式一房，南向采光好，产权清晰。,广奥电梯复式一房，南向采光好，产权清晰，业主诚意卖。,140,32037,1室1厅,中楼层,21,精装,南,2002,43.7,广州奥林匹克花园,洛溪,番禺,三梯二十六户,有,商品房,https://gz.lianjia.com/ershoufang/108403408139.html
西增路 2室2厅 南 北,链家网真房源，更多房源信息请联系经纪人,199,29693,2室2厅,中楼层,9,精装,南 北,0,67.02,西增路,西村,荔湾,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403394249.html
大德路 满族 低层2房 精装修,楼层低，适合大多数人群需要，预算不高适初次置业,136,40780,2室1厅,中楼层,9,其他,东北,1993,33.35,大德路,解放南,越秀,一梯七户,有,商品房,https://gz.lianjia.com/ershoufang/108403392242.html
远洋天骄 电梯高层 精装修 跃式户型 可办公和住家,远洋天骄 电梯高层 精装修 跃式户型 可办公和住家,110,19957,1室1厅,中楼层,15,精装,西,0,55.12,远洋天骄广场,天河客运站,天河,五梯二十九户,有,商品房,https://gz.lianjia.com/ershoufang/108403405606.html
雅居乐锦城花冠集 3室2厅 东南 南,链家网真房源，更多房源信息请联系经纪人,157,16607,3室2厅,高楼层,32,精装,东南 南,2008,94.54,雅居乐锦城花冠集,秀全街,花都,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403381689.html
芬芳小区 中低楼层 精装两房单位 厅出阳台 实用率高,此房已满五年，户型方正实用，厅出阳台，楼层适中，社区配套完善,168,27318,2室2厅,中楼层,9,精装,西,1996,61.5,芬芳小区,汾水,荔湾,一梯八户,无,商品房,https://gz.lianjia.com/ershoufang/108403395260.html
此房满五非唯一 平层电梯已经使用中 拎包入住,此房满五非唯一 平层电梯已经使用中 拎包入住,258,36513,3室1厅,中楼层,9,精装,南 西南 北,1987,70.66,素社新村,前进路,海珠,一梯五户,有,房改房,https://gz.lianjia.com/ershoufang/108403386828.html
雅居乐锦城五期 南向三房 中间楼层,锦城五期刚需三房户型，南向安静不吵，视野开阔无遮挡,165,17278,3室2厅,中楼层,32,精装,东北,2008,95.5,雅居乐锦城花冠集,秀全街,花都,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403386937.html
急卖！精装 刚需南向两房 各付各税  看房方便,刚需 南向两房  精装修 采光通风好 各付各税 看房方便,160,35755,2室1厅,中楼层,9,精装,南,1997,44.75,敦和路225-243号宿舍（单号）,赤岗,海珠,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403407505.html
此房东向，楼层高采光好，配套完善，近地铁交通便利,此房东向，楼层采光好，配套完善，近地铁交通便利,65,19444,1室1厅,高楼层,31,精装,东,2016,33.43,保利大都汇,汉溪长隆,番禺,三梯十六户,有,商品房,https://gz.lianjia.com/ershoufang/108403404698.html
侨源山庄， 东南朝阳三房，户型方，正环境舒适。,高层电梯，东南朝阳，采光通风好；户型方正，交通便利，,509,44740,3室2厅,高楼层,20,精装,东南,1998,113.77,侨源山庄,粤垦,天河,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403390836.html
琶洲电商总部西区 地铁口实用两房 满五年省重税,电商总部西区 满五年  地铁口实用两房   小区安静 采光通风好,173,30293,2室1厅,高楼层,9,简装,西北,1997,57.11,广发新村,赤岗,海珠,一梯十二户,无,商品房,https://gz.lianjia.com/ershoufang/108403375622.html
